name_norm,name_zh,country_code,latitude,longitude,feature_hint
aasta,奧斯塔河,NO,61.600000,10.633333,true
aavasaksa,阿瓦薩克沙,FI,66.383333,23.716667,false
ab zerafa,阿布吉拉法,TD,12.816667,18.633333,false
aba,阿巴,CD,-0.583333,15.983333,false
aba,阿巴,HU,47.033333,18.516667,false
aba,阿巴,NE,5.100000,7.350000,false
aba,阿巴,NG,11.000000,7.766667,false
aba ad dud,艾巴杜德,SA,27.033333,44.016667,false
aba al afan,艾巴阿凡,SA,18.850000,50.633333,false
aba al hinshan mt.,艾巴欣尚山,SA,29.216667,35.200000,true
abacaxis,阿巴卡克斯 河,BR,-3.916667,-58.750000,true
abadan,阿巴丹,IR,30.333333,48.250000,false
abadan,阿巴丹島,,30.083333,48.533333,true
abadan tappeh,阿巴丹泰佩,IR,37.416667,55.250000,false
abadeh,阿巴代,IR,28.833333,53.183333,false
abadeh tashk,阿巴代泰什克,IR,29.816667,53.733333,false
abadengo,阿巴丹哥,ES,42.716667,-5.516667,false
abades,阿巴德斯,ES,42.750000,-8.300000,false
abadia,阿巴迪亞,BR,-18.450000,-47.366667,false
abadin,阿巴丁,ES,43.366667,-7.483333,false
abadla,阿巴德拉,DZ,31.016667,-2.750000,false
abadszalok,阿巴札洛克,HU,47.500000,20.500000,false
abadzekhskaya,阿巴澤赫斯卡雅,RU,44.400000,40.216667,false
abaete,阿拜特,BR,19.166667,45.400000,false
abaetetuba,阿拜特土巴,BR,-1.700000,-48.900000,false
abai,阿巴伊,PY,-25.966667,-55.900000,false
abaiang atoll,阿巴昂環礁,KI,1.716667,173.000000,true
abaji,阿巴吉,NE,8.466667,6.950000,false
abajo mts.,阿巴荷山脈,US,37.850000,-109.550000,true
abajo pk.,阿巴荷峰,US,37.833333,-109.466667,false
abakaliki,阿巴卡利基,NG,6.333333,8.100000,false
abakan,亞巴坎,RU,53.716667,91.433333,false
abakan r.,亞巴坎河,RU,53.733333,91.483333,true
abakanskiy khrebet,亞巴坎斯基,RU,52.333333,88.833333,false
abala,阿巴拉,CG,-3.366667,15.483333,false
abala,阿巴拉,NE,15.933333,3.433333,false
abalessa,阿巴雷沙,DZ,22.883333,4.850000,false
abalos pt.,亞巴洛斯角,CU,22.183333,-84.450000,true
aban al asmar,阿斯馬山,SA,25.816667,42.983333,true
abana,亞巴納,TR,41.983333,34.016667,false
abana r.,亞巴納河,SY,33.516667,36.283333,true
abanades,阿巴納德斯,ES,40.900000,-2.483333,false
abancay,阿班開,PE,-13.633333,-72.883333,false
abancourt,阿班庫,FR,50.233333,3.216667,false
abanga,阿班加,GA,0.933333,10.950000,false
abanilla,阿巴尼雅,ES,38.200000,-1.050000,false
abano terme,阿巴諾特梅,IT,45.350000,11.783333,false
abapo,阿巴波,BO,-18.833333,-63.466667,false
abar kuh,阿貝爾山,IR,31.100000,53.350000,true
abaran,阿巴蘭,ES,38.200000,-1.400000,false
abarqu,阿貝爾古鹽湖,IR,30.900000,53.500000,true
abasar,阿巴薩,HU,47.800000,20.000000,false
abasha,阿巴沙,GE,42.200000,42.216667,false
abashiri,網走,JP,44.016667,144.266667,false
abasolo,阿巴梭羅,MX,27.200000,-101.400000,false
abasolo del valle,阿巴梭羅瓦雷,MX,17.766667,-95.500000,false
abastumani,阿巴足馬尼,GE,42.400000,41.883333,false
abasula,阿巴蘇拉,KE,-1.933333,38.916667,false
abau,阿寶,PG,-10.066667,148.566667,false
abaujszanto,阿包伊桑托,HU,48.300000,21.200000,false
abava,阿巴瓦,LV,57.100000,21.883333,false
abay,阿貝,KZ,47.333333,62.333333,false
abay-bazar,阿貝巴札,KZ,41.350000,68.950000,false
abaya l.,阿巴雅湖,ET,7.616667,38.600000,true
abaza,阿巴札,RU,52.650000,90.100000,false
abba,阿巴,CF,5.333333,15.183333,false
abbadia san salvatore,阿巴迪亞薩爾瓦多,IT,42.883333,11.683333,false
abbasabad,阿卜巴薩巴德,IR,30.416667,53.333333,false
abbasanta,阿巴桑塔,IT,40.133333,8.816667,false
abbatis villa,阿巴提斯維拉,FR,50.133333,1.950000,false
abbaye,阿貝角,US,46.950000,-88.116667,true
abbazia,阿巴西亞,HR,45.333333,14.316667,false
abbe,阿貝湖,,11.183333,41.783333,true
abbeville,亞布維,US,31.566667,-85.250000,false
abbeville,亞布維勒,FR,50.100000,1.850000,false
abbey,亞比,CA,50.733333,-108.750000,false
abbey hd.,亞比岬,GB,54.766667,-3.950000,true
abbey town,亞比鎮,GB,54.833333,-3.283333,false
abbeydorney,亞比多尼,IE,52.350000,-9.683333,false
abbeyfeale,阿比菲,IE,52.400000,-9.300000,false
abbeyleix,阿比萊克,IE,52.900000,-7.350000,false
abbiategrasso,阿比亞格拉索,IT,45.400000,8.900000,false
abborrtrask,阿布特拉斯克,SE,65.450000,19.383333,false
abbot,亞波特山,AU,-20.133333,147.666667,true
abbot b.,亞波特灣,AU,-19.800000,147.916667,true
abbot ice shelf,亞波特冰棚,,-72.750000,-96.000000,false
abbots bromley,亞波次布隆雷,GB,52.800000,-1.866667,false
abbotsbury,亞波次伯里,GB,50.666667,-2.600000,false
abbotsford,亞波次福,GB,55.600000,-2.783333,false
abbotstown,亞波次頓,IE,53.400000,-6.350000,false
abbott,亞波特,US,31.883333,-97.100000,false
abbottabad,亞波特巴德,PK,34.200000,73.250000,false
abcoude,阿布考德,NL,51.283333,4.983333,false
abd,阿卜德井,EG,30.783333,28.600000,false
abd,阿卜德泉,LY,29.250000,19.066667,true
abd al aziz,阿布德亞吉山,SY,36.416667,-40.333333,true
abd al kuri i.,阿卜德庫里島,YE,12.200000,52.250000,true
abd al maasir hill,阿卜德馬阿希爾丘,SA,30.866667,38.300000,false
abd allah,阿布德拉水道,,29.900000,48.333333,false
abdanan,阿卜達南,IR,32.950000,47.466667,false
abdi,阿布迪,RU,55.883333,50.766667,false
abdolabad,阿卜多拉巴德,IR,34.283333,56.883333,false
abdulino,阿布杜里諾,RU,35.483333,47.766667,false
abe-gawa,安倍川,JP,34.933333,138.400000,false
abeche,阿貝希,TD,13.816667,20.816667,false
abeibara,阿貝巴拉,ML,19.116667,1.750000,false
abejar,阿貝哈,ES,41.800000,-2.783333,false
abejuela,阿貝呼耶拉,ES,39.916667,-0.883333,false
abejukolo,阿貝朱科羅,NG,7.816667,7.533333,false
abela,阿貝拉,SD,11.416667,34.583333,false
abelajouad,阿貝拉久德,NE,17.900000,7.183333,false
abelbod,阿貝波,ML,18.416667,-11.300000,false
abele,阿必來,BE,50.916667,3.383333,false
abelessa,阿貝雷沙,DZ,22.916667,4.866667,false
abelleira,阿貝雷拉角,ES,42.450000,-8.933333,true
abelvaer,阿貝瓦,NO,64.733333,11.183333,false
abemama,阿貝曼馬,KI,0.333333,173.833333,false
abenab,阿貝納,NA,-19.283333,18.083333,false
abenberg,阿本伯格,DE,49.250000,10.983333,false
abengibre,阿本吉布里,ES,39.216667,-1.533333,false
abengourou,阿朋固羅,CI,6.700000,-3.450000,false
abenojar,阿本諾哈,ES,38.883333,-4.350000,false
abenra,阿本拉,DK,55.050000,9.433333,false
abens,阿本斯,DE,53.600000,7.733333,false
abensberg,阿本斯伯格,DE,48.816667,11.866667,false
abeokuta,阿布庫塔,NG,7.166667,3.433333,false
aber benoit,亞伯貝諾,FR,48.566667,-4.583333,false
aber vrach,亞伯呼拉,FR,48.600000,-4.600000,false
abera,阿貝拉,ET,7.216667,35.850000,false
aberayron,亞伯來倫,GB,52.250000,-4.250000,false
abercanaid,亞伯坎奈,GB,51.716667,-3.366667,false
abercarn,亞伯坎,GB,51.650000,-3.133333,false
aberchirder,亞伯克德,GB,57.550000,-2.633333,false
abercrombie,亞伯康比,AU,-33.950000,149.316667,false
abercrombie mt.,亞伯康比山,US,61.500000,-142.000000,true
abercynon,亞伯辛農,GB,51.633333,-3.333333,false
aberdare,亞伯達,GB,51.716667,-3.450000,false
aberdaron,亞伯達倫,GB,52.816667,-4.716667,false
aberdeen,亞伯丁,AU,57.166667,-2.066667,false
aberdeen,亞伯丁,US,-45.466667,-98.500000,false
aberdeen,亞伯丁,ZA,-32.483333,24.066667,false
aberdeen l.,亞伯丁湖,CA,64.466667,-99.000000,true
aberdeen road,亞伯丁洛,ZA,-32.750000,24.316667,false
aberdeenshire,亞伯丁夏,GB,57.166667,-2.666667,false
aberdour,亞伯多爾,GB,56.050000,-3.300000,false
aberdovey,亞伯多維,GB,52.550000,-4.033333,false
aberdyfi,亞伯迪非,GB,52.550000,-4.033333,false
aberfeldy,亞伯非底,GB,56.616667,-3.900000,false
aberffraw,亞伯福勞,GB,53.200000,-4.466667,false
aberford,亞伯福,GB,53.850000,-1.333333,false
aberfoyle,亞伯佛伊,GB,56.183333,-4.383333,false
abergavenny,亞伯格芬尼,GB,51.833333,-3.000000,false
abergele,亞伯格,GB,53.283333,-3.566667,false
abergwaun,亞伯旺,GB,52.000000,-4.966667,false
abergwesyn,亞伯威辛,GB,52.150000,-3.683333,false
aberhonddu,亞伯洪都,GB,51.950000,-3.383333,false
aberkenfig,亞伯肯非,GB,51.533333,-3.600000,false
aberlady,亞伯雷迪,GB,56.000000,-2.850000,false
aberlemno,亞伯倫諾,GB,56.683333,-2.766667,false
aberlour,亞伯勞爾,GB,57.466667,-3.233333,false
abermaw,亞伯貿,GB,52.716667,-4.050000,false
abernathy,亞伯奈替,US,33.833333,-101.850000,false
abernethy,亞伯內替,GB,56.333333,-3.316667,false
aberporth,亞伯朴斯,GB,52.133333,-4.533333,false
abersoch,亞伯索,GB,52.816667,-4.500000,false
abersychan,亞伯夕欠,GB,51.733333,-3.066667,false
abert,亞伯特湖,US,42.633333,-120.233333,true
abertamy,亞伯塔米,CZ,50.366667,12.816667,false
aberteifi,亞伯鐵非,GB,52.250000,-4.000000,false
abertura,亞伯土拉,ES,39.250000,-5.816667,false
aberuthven,亞伯魯文,GB,56.316667,-3.666667,false
aberystwyth,亞伯立斯威,GB,52.416667,-4.083333,false
abez,阿別茲,RU,66.550000,61.683333,false
abfaltersbach,阿布法特斯巴,AT,46.766667,12.550000,false
abgah,阿卜加,IR,31.983333,49.083333,false
abganerovo,阿布干諾羅弗,RU,48.083333,44.183333,false
abha,艾卜哈,SA,18.233333,42.350000,false
abha,艾卜哈丘,SA,24.400000,40.700000,false
abhainnsuidhe,阿布涵水德,GB,57.966667,-7.000000,false
abhanpur,阿布涵舖,IN,21.050000,81.716667,false
abhar,阿卜黑爾,IR,36.133333,49.216667,false
abia de la obispalia,阿比亞歐比士帕里,ES,40.016667,-2.400000,false
abiad,阿比亞河,,15.600000,32.500000,true
abiata hayk,阿比亞塔湖,ET,7.616667,38.600000,true
abibe,阿比貝山脈,CO,7.850000,-76.516667,false
abidjan,阿必尚,CI,5.316667,-4.016667,false
abiego,阿別哥,ES,42.116667,-0.066667,false
abiekwaput se pan,阿別夸普窪地,ZA,-27.283333,20.116667,false
abiko,我孫子,JP,35.866667,140.016667,false
abild,阿比爾,DK,54.983333,8.866667,false
abilene,亞伯林,US,32.450000,-99.750000,false
abilly,亞比利,FR,46.933333,0.733333,false
abingdon,亞平敦,GB,51.683333,1.283333,false
abingdon,亞平敦,US,40.800000,-90.400000,false
abington,亞平頓,GB,55.483333,3.700000,false
abington,亞平頓,US,40.116667,-75.116667,false
abington reef,亞平頓礁,AU,-18.000000,149.583333,true
abinsi,阿賓西,NG,7.750000,8.750000,false
abinsk,阿賓斯克,RU,44.866667,38.183333,false
abion,阿比昂,ES,41.566667,-2.233333,false
abishur mt.,阿卜舒爾山,IR,35.183333,46.450000,true
abisko,亞必斯科,SE,68.333333,18.850000,false
abitau l.,亞比陶湖,CA,60.450000,-107.250000,true
abitibi l.,亞比替比湖,CA,48.833333,-79.750000,true
abitibi r.,亞比替比河,CA,51.066667,-80.916667,true
abkhazia,阿布哈茲,GE,43.000000,41.500000,false
abkhur,阿卜胡爾,IR,34.316667,57.116667,false
abla,阿布拉,ES,37.133333,-2.783333,false
ablis,阿布利,FR,48.516667,1.833333,false
ablitas,阿布利塔,ES,41.966667,-1.633333,false
abnub,艾卜努卜,EG,27.233333,31.100000,false
abo,亞波,FI,60.450000,22.283333,false
abodi,阿波第山,ES,42.966667,-1.116667,true
abohar,阿伯哈,IN,30.183333,74.233333,false
aboim das chocas,阿伯因丘卡斯,PT,41.916667,-8.450000,false
aboisso,阿波伊索,CI,5.433333,-3.216667,false
aboka,阿波卡,NE,13.733333,1.833333,false
abomey,阿波美,BJ,7.233333,2.000000,false
abona,阿波納岬,,28.116667,-16.450000,true
abondance,亞邦丹斯,FR,46.283333,6.733333,false
abong mbang,阿朋木邦,CM,3.966667,13.166667,false
abongabong,阿邦阿邦山,ID,4.333333,96.750000,true
abony,阿波尼,HU,47.166667,20.000000,false
abooso,阿布索,GH,6.516667,-1.533333,false
aboot,阿布特,ID,-7.716667,140.050000,false
aborlan,阿伯蘭,PH,9.416667,118.533333,false
abou goulem,阿布谷倫,TD,13.616667,21.633333,false
aboume,阿布美,GA,0.866667,9.866667,false
abourassein,阿伯拉塞因峰,CF,8.650000,24.233333,false
abouraya,阿伯拉雅,NE,15.383333,6.700000,false
abovyan,阿伯夫揚,AM,40.266667,44.616667,false
aboyne,亞波恩,GB,57.066667,-2.800000,false
abqaiq,艾卜蓋格,SA,25.933333,49.666667,false
abra,阿布拉海峽,CL,-53.383333,-73.416667,true
abra,阿布拉湖,AR,-40.533333,-63.383333,true
abra,阿布拉省,PH,17.583333,120.750000,false
abra pampa,阿布拉彭巴河,AR,-23.216667,-65.866667,true
abra r.,阿布拉河,PH,17.516667,120.400000,true
abrad,艾卜拉德乾河,YE,15.750000,45.800000,true
abragao,阿布拉高,PT,41.150000,-8.216667,false
abraham,亞伯拉罕山,US,44.966667,-70.333333,true
abrahams b.,亞伯拉罕灣,BS,22.400000,-73.950000,true
abraka,阿布拉卡,NG,5.783333,6.100000,false
abram,阿布蘭,GB,53.516667,-2.583333,false
abramov,阿布拉莫夫角,RU,66.416667,43.266667,true
abramovka,阿布拉莫夫卡,RU,51.366667,41.566667,false
abrams,阿布拉母斯,US,44.766667,88.050000,false
abramut,阿布拉母特,RO,47.316667,22.250000,false
abrantes,阿布朗提斯,PT,39.466667,-8.200000,false
abraqunis,阿布拉昆尼斯,AZ,39.133333,45.633333,false
abrau dyurso,阿布勞杜爾索,RU,44.700000,37.600000,false
abraveses,阿布拉維塞,PT,40.666667,-7.916667,false
abre campo,阿布雷坎波,BR,-20.300000,-42.483333,false
abreiro,阿布雷洛,PT,41.350000,-7.300000,false
abrera,阿布雷拉,ES,41.516667,1.900000,false
abreschviller,阿布雷什維勒,FR,48.650000,7.100000,false
abrest,阿布利斯特,FR,46.100000,3.433333,false
abreus,阿布列烏斯,CU,22.283333,-80.566667,false
abri,阿卜里,SD,20.800000,30.333333,false
abries,阿布雷斯,FR,44.783333,6.933333,false
abrolhos,阿布洛耶斯群島,BR,-18.000000,-38.666667,true
abrosovo,阿布羅索弗,RU,58.733333,35.383333,false
abrucena,阿布魯希納,ES,37.133333,-2.800000,false
abrud,阿布路德,RO,46.266667,23.083333,false
abruka i.,阿布路卡島,EE,22.516667,58.150000,true
abruzzo,阿布魯佐,IT,42.250000,13.750000,false
abs,阿卜斯,YE,16.000000,43.200000,false
absalom,阿布沙隆山,,-80.400000,-25.400000,true
absam,阿布桑,AT,47.300000,11.500000,false
absaroka ra.,阿布沙羅卡嶺,US,45.133333,-110.116667,false
absberg,阿布斯伯格,DE,49.150000,10.883333,false
absdorf,阿布斯道夫,AT,48.316667,15.616667,false
absecon,阿布西康,US,39.433333,-74.500000,false
abseron pen.,阿布西隆半島,AZ,40.233333,50.366667,true
abseron rayonu,阿布西隆政區,AZ,40.416667,49.333333,false
abtar,阿布塔山,SY,34.300000,38.000000,true
abtenau,阿布特瑙,AT,47.566667,13.350000,false
abtsgmund,阿布茲母德,DE,48.883333,10.000000,false
abu,阿布,IN,24.600000,72.700000,false
abu,阿武,JP,34.500000,131.466667,false
abu ad duhur,阿布杜赫,SY,35.733333,37.050000,false
abu al abyad,阿布阿布耶德島,AE,24.183333,53.783333,true
abu al husayn,阿布胡珊島,JO,32.033333,38.133333,true
abu alam,阿布阿蘭乾河,SD,19.066667,35.116667,true
abu ali i.,阿布阿里島,SA,27.366667,49.583333,true
abu amud,阿布阿木德乾河,JO,29.900000,36.200000,true
abu arish,阿布阿里什,SA,16.983333,42.816667,false
abu azim,阿布阿濟母,IR,30.966667,49.016667,false
abu ballas hill,阿布拜拉斯丘,EG,24.433333,27.600000,false
abu baqar,阿布拜蓋爾,SA,19.866667,41.800000,false
abu dair des.,阿布達伊爾沙漠,YE,16.700000,45.200000,true
abu deleig,阿布代來格,SD,15.900000,33.816667,false
abu dhabi,阿布達比,AE,24.466667,54.416667,false
abu dokhan,阿布杜罕山,EG,27.216667,33.266667,true
abu duan,阿布杜安,SY,36.450000,38.266667,false
abu durbah,阿布杜爾拜,EG,28.483333,33.333333,false
abu el jirdhan,阿布吉丹,JO,30.333333,35.766667,false
abu gabra,阿布杰卜拉,SD,11.033333,26.833333,false
abu gamal,阿布杰麥勒山,,15.150000,36.433333,true
abu ghirban,阿布吉爾班,SD,19.166667,32.316667,false
abu gubeiha,阿布朱拜哈,SD,11.450000,31.233333,false
abu had,阿布哈德乾河,EG,27.766667,33.500000,true
abu hafnah,阿布哈夫納乾河,JO,32.283333,38.166667,true
abu hallufah,阿布哈路法山,JO,31.383333,36.300000,true
abu hamed,阿布哈麥德,SD,19.533333,33.333333,false
abu hamra,阿布哈母拉,SD,12.850000,31.050000,false
abu haraz,阿布哈拉茲,SD,18.016667,33.966667,false
abu hashim,阿布哈希母,SD,18.966667,33.550000,false
abu haswah,阿布哈斯韋,IQ,33.600000,42.866667,false
abu hijar,阿布希賈爾,SD,12.833333,33.983333,false
abu jalum,阿布杰盧母角,EG,28.616667,34.566667,true
abu jifan,阿布吉凡,SA,24.483333,47.783333,false
abu jurdhan,阿布佐旦,JO,30.333333,35.766667,false
abu kamal,阿布坎馬,SY,34.450000,40.916667,false
abu kammash,阿布喀馬什,LY,33.116667,11.716667,false
abu kemal,阿布開美,SY,34.483333,40.933333,false
abu laot,阿布來歐特乾河,SD,15.983333,32.550000,true
abu latt i.,阿布來特島,SA,19.950000,40.116667,true
abu madd,阿布麥德角,SA,24.833333,37.200000,true
abu matariq,阿布麥塔里格,SD,10.966667,26.283333,false
abu minqar,阿布民加爾井,EG,26.516667,27.616667,false
abu mombasi,阿布蒙巴濟,CD,3.700000,22.166667,false
abu muharrik,阿布木哈里克沙丘,EG,27.750000,29.666667,false
abu musa,阿布木沙島,AE,25.883333,55.033333,true
abu naim,阿布納伊母,LY,28.900000,18.883333,false
abu nujaym,阿布努杰母,LY,30.583333,15.400000,false
abu qir,阿布吉爾,EG,31.316667,30.066667,false
abu qir,阿布吉爾灣,EG,31.333333,30.250000,true
abu qurayn,阿布古賴恩,LY,31.450000,15.250000,false
abu qurqas,阿布古爾加斯,EG,27.933333,30.833333,false
abu raqah,阿布拉蓋,SA,27.100000,37.133333,false
abu rawthah al awsat,阿布勞塞山,EG,29.066667,34.266667,true
abu road,阿布羅德,IN,24.500000,72.983333,false
abu sallah,阿布塞來乾河,SA,29.933333,37.866667,true
abu sawadah,阿布塞瓦代,SA,24.833333,48.866667,false
abu shagara,阿布舍杰拉角,SD,21.100000,37.316667,true
abu shanab,阿布舍奈卜,SD,13.966667,27.816667,false
abu sukhayr,阿布蘇海爾,IQ,31.900000,44.450000,false
abu sunbul,阿布松布勒,EG,22.366667,31.633333,false
abu tabaq,阿布泰拜格,SD,21.633333,34.150000,false
abu taqah,阿布塔蓋,SA,27.000000,37.833333,false
abu tarfa,阿布泰爾費乾河,EG,29.483333,33.750000,true
abu tij,阿布提季,EG,27.033333,31.316667,false
abu turayfiyah,阿布圖來非雅乾河,EG,29.916667,33.750000,true
abu tuyur,阿布土尤爾山,EG,25.716667,34.266667,true
abu uruq,阿布歐魯格,SD,15.900000,30.450000,false
abu uwayqilah,阿布歐威吉來,EG,30.833333,34.116667,false
abu zabad,阿布宰拜德,SD,10.500000,39.816667,false
abu zabi,阿布薩比島,AE,24.450000,54.383333,true
abu zanimah,阿布則尼麥,EG,29.050000,33.100000,false
abu zeydabad,阿布宰達巴德,IR,33.900000,51.783333,false
abucay,阿布開,PH,18.166667,120.733333,false
abufari,阿布法里,BR,-5.166667,-62.983333,false
abuhera i.,阿布赫拉島,MV,-0.633333,73.100000,true
abuja,阿布札,NG,9.166667,7.183333,false
abukuma-gawa,阿武隈川,JP,37.333333,140.833333,false
abukuma-kochi,阿武隈高地,JP,38.033333,140.933333,false
abuna,阿布那河,BO,-9.683333,-65.383333,true
abunal,阿布拿,BR,-9.683333,-61.333333,false
abune yosef,阿布內尤塞夫,ET,12.116667,39.166667,false
aburatsu,油津,JP,31.583333,131.383333,false
aburazaka-toge,油坂峠,JP,40.850000,140.700000,false
aburo,阿布洛,TL,-9.200000,125.233333,false
abut hd.,阿布岬,NZ,-43.116667,170.250000,true
abuta,虻田,JP,42.566667,140.766667,false
abuya myeda,阿布雅密達峰,ET,10.500000,39.816667,false
abuyog,阿布約,PH,10.733333,125.016667,false
abwong,阿卜旺,SD,9.083333,32.200000,false
aby,阿比,SE,56.766667,16.333333,false
abyad,阿布耶德山,SY,33.550000,36.233333,true
abyan,阿卜延,IR,30.066667,51.533333,false
abydos,阿拜多斯,AU,-21.416667,118.933333,false
abyei,艾卜耶,SD,9.583333,28.466667,false
abyek,阿卜耶克,IR,36.016667,50.583333,false
abyn,阿賓,SE,65.050000,21.333333,false
abyy,阿必,RU,69.183333,145.366667,false
abzakovo,阿布札科弗,RU,53.816667,58.583333,false
abzanovo,阿布札諾弗,RU,51.850000,56.766667,false
acacias,阿加西亞斯,CO,3.983333,-73.750000,false
academy glacier,阿卡德米冰河,,-84.250000,-61.000000,true
acahay,阿卡艾,PY,-25.916667,-57.150000,false
acai,阿薩伊,BR,-23.483333,-50.750000,false
acajete,阿卡哈提,MX,19.583333,-97.000000,false
acajutiba,阿薩胡提巴,BR,-11.666667,-38.016667,false
acajutla,阿卡胡特拉,SV,13.600000,-89.833333,false
acambaro,阿坎巴羅,MX,20.016667,-100.700000,false
acambay,阿坎拜,MX,19.950000,-99.850000,false
acanceh,阿坎瑟,MX,20.816667,-89.450000,false
acandi,阿坎迪,CO,8.533333,-77.233333,false
acaponeta,阿卡波內塔,MX,22.500000,-105.416667,false
acapulco,阿卡普科,MX,16.850000,-99.933333,false
acara,阿卡拉,BR,-2.000000,-48.250000,false
acarai mts.,阿卡來山脈,BR,-14.333333,-39.933333,true
acarau,阿卡勞,BR,-2.933333,-40.133333,false
acaray,阿卡雷河,PY,-25.616667,-54.633333,true
acari,阿卡里,BR,-6.383333,-36.583333,false
acari,阿卡里,PE,-15.433333,-74.616667,false
acarigua,阿卡里瓜,VE,9.500000,-69.200000,false
acas,阿卡斯,RO,47.533333,22.783333,false
acate,阿卡特,IT,37.033333,14.466667,false
acate,阿卡特河,IT,37.000000,14.333333,true
acatenango,阿卡特南哥,GT,14.550000,-90.950000,false
acateno,阿卡特諾,MX,19.883333,-97.350000,false
